PQID,Title,Author,Publication,Date,Year
1364921376,Company Makes a Business Of Selling Social Change: † [Business/Financial Desk],"Zimmerman, Eilene",New York Times,"Jun 6, 2013",2013
1364844970,BLOODY CAMDEN: † This isn't Newtown,"Alcindor, Yamiche",USA TODAY,"Jun 5, 2013",2013
1364686334,Chipping Away At Success,"Kansas, David",Wall Street Journal,"Jun 5, 2013",2013
1364684161,The Open Society and Its Enemies on Our Campuses,Anonymous,Wall Street Journal,"Jun 5, 2013",2013
1362013050,Experiences as Students and Parents Shape Candidates' Views on Schools: † [Metropolitan Desk],"Hern¡Ndez, Javier C",New York Times,"Jun 4, 2013",2013
1357466714,Rare Protest In Vietnam Raises a Call To Curb China: † [Foreign Desk],The Associated Press,New York Times,"Jun 3, 2013",2013
1357466777,"Jean Stapleton, Who Played Archie Bunker's Better Angel, Dies at 90: † [Obituary (Obit); Biography]","Weber, Bruce",New York Times,"Jun 3, 2013",2013
1357332956,"Jean Stapleton, Who Played Archie Bunker's Better Angel, Dies at 90: † [Obituary (Obit); Biography]","Weber, Bruce",New York Times,"Jun 2, 2013",2013
1357341612,"Directors, and Twins, Who Distrust the Normal: † [Interview]","Piepenburg, Erik",New York Times,"Jun 2, 2013",2013
1357332924,A Picket-Fence Experience: † [Real Estate Desk],"Haller, Vera",New York Times,"Jun 2, 2013",2013
1357332936,Available: Vociferous Coach and His Baggage: † [Sports Desk],"Klein, Jeff Z; Hackel, Stu",New York Times,"Jun 2, 2013",2013
1357332969,More Than Just a Social Butterfly: † [Style Desk],"Quenqua, Douglas",New York Times,"Jun 2, 2013",2013
1356920202,BBC Faces New Claims Of Sex Abuse: † [Foreign Desk],"Lyall, Sarah",New York Times,"May 31, 2013",2013
1356920118,New Manager Leads a Red Sox Revival: † [Sports Desk],"Araton, Harvey",New York Times,"May 31, 2013",2013
1356920195,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"May 31, 2013",2013
1356210806,Man Killed in the Village Is Remembered as Outgoing and Private: † [Metropolitan Desk],"Leland, John",New York Times,"May 30, 2013",2013
1356211742,"Before Classes End, Retailers Prepare Back-to-School Shopping Campaigns: † [Business/Financial Desk]","Elliott, Stuart",New York Times,"May 30, 2013",2013
1355737211,WEDDING BELLS,,USA TODAY,"May 28, 2013",2013
1355643450,"A Better Way to Treat Anxiety --- For Teens, Therapy Turns Parents Into 'Exposure Coaches,' Not Protectors","Landro, Laura",Wall Street Journal,"May 28, 2013",2013
1355684851,"Losing a 'Boyfriend,' the Best Way Possible: † [Style Desk]","Burroughs, Augusten",New York Times,"May 26, 2013",2013
1355232786,What's On Today: † [Schedule],"Shattuck, Kathryn",New York Times,"May 25, 2013",2013
1354588302,Its Streets Are Paved With Drama: † [Review],Claudia La Rocco,New York Times,"May 24, 2013",2013
1353431246,Apple Hits Tax Tension Head-On: Testimony by Cook Eases the Concerns Of Some Senators: † [Business/Financial Desk],"Schwartz, Nelson D; Chen, Brian X",New York Times,"May 22, 2013",2013
1353638648,Apple's tax ingenuity a tough sell: † Senate critics aren't buying offshore tactics that saved billions,"McCoy, Kevin",USA TODAY,"May 22, 2013",2013
1353240792,Younger Children Seek an Acne Cure: † [Science Desk],Catherine Saint Louis,New York Times,"May 21, 2013",2013
1353111837,Jets' Idzik steps into spotlight: † New GM working hard to fix high-profile mess,"Garafolo, Mike",USA TODAY,"May 20, 2013",2013
1353111823,SPURS STUFF RANDOLPH: † San Antonio puts Memphis big man in check en route to Game 1 victory,"Amick, Sam",USA TODAY,"May 20, 2013",2013
1352892338,All the Lonely People: † Commentary,"Douthat, Ross",New York Times,"May 19, 2013",2013
1352807478,REVIEW --- Books: Children's Books,Meghan Cox Gurdon,Wall Street Journal,"May 18, 2013",2013
1353348172,The Listings: † [Schedule],,New York Times,"May 17, 2013",2013
1351986585,"High court cases caught in flow of current events: † Could justices be influenced on gene patents, gay marriage?","Wolf, Richard",USA TODAY,"May 16, 2013",2013
1351555750,U.S. News: L.A. Schools Rethink Suspensions,"Phillips, Erica E",Wall Street Journal,"May 16, 2013",2013
